k,t,Qnum,Qlevel,Qlength,approach,time,size
80,3,107,6,2,TCA,37.224,370.4
140,3,141,6,2,TCA,349.132,429.2
200,3,169,6,2,TCA,1300.828,465.6
20,2,53,6,3,TCA,0.016,34
80,2,107,6,3,TCA,0.652,52.4
140,2,141,6,3,TCA,2.978,61
200,2,169,6,3,TCA,7.642,64.6
20,3,53,6,3,TCA,0.236,170.2
80,3,107,6,3,TCA,47.008,318
140,3,141,6,3,TCA,416.406,383
200,3,169,6,3,TCA,1542.59,423.2
20,2,53,6,4,TCA,0.01,32.4
80,2,107,6,4,TCA,0.658,52
140,2,141,6,4,TCA,3.112,60
200,2,169,6,4,TCA,8.272,64.8
20,3,53,6,4,TCA,0.216,162.4
80,3,107,6,4,TCA,44.962,312
140,3,141,6,4,TCA,433.64,378.6
200,3,169,6,4,TCA,1734.792,416.2
20,2,53,6,5,TCA,0.01,32.4
80,2,107,6,5,TCA,0.63,51.8
140,2,141,6,5,TCA,2.946,59.2
200,2,169,6,5,TCA,7.788,64.2
20,3,53,6,5,TCA,0.21,159.4
80,3,107,6,5,TCA,46.544,311.2
140,3,141,6,5,TCA,430.548,377.2
200,3,169,6,5,TCA,1689.634,411.8
20,2,80,9,2,TCA,0.016,43
80,2,160,9,2,TCA,0.656,67.8
140,2,212,9,2,TCA,3.022,74.6
200,2,254,9,2,TCA,7.516,77.2
20,3,80,9,2,TCA,0.242,217.4
80,3,160,9,2,TCA,45.484,415.6
140,3,212,9,2,TCA,405.476,474.8
200,3,254,9,2,TCA,1366.64,516.6
20,2,80,9,3,TCA,0.016,35.4
80,2,160,9,3,TCA,0.708,53.6
140,2,212,9,3,TCA,3.402,61.8
200,2,254,9,3,TCA,8.646,65.6
20,3,80,9,3,TCA,0.242,176.8
80,3,160,9,3,TCA,51.71,323.4
140,3,212,9,3,TCA,472.346,387.8
200,3,254,9,3,TCA,1790.926,426.6
20,2,80,9,4,TCA,0.016,33.2
80,2,160,9,4,TCA,0.726,52.4
140,2,212,9,4,TCA,3.486,60.2
200,2,254,9,4,TCA,8.982,64
20,3,80,9,4,TCA,0.226,162.2
80,3,160,9,4,TCA,49.654,314.4
140,3,212,9,4,TCA,469.006,379.2
200,3,254,9,4,TCA,1824.052,416.4
20,2,80,9,5,TCA,0.01,32.8
80,2,160,9,5,TCA,0.652,51.8
140,2,212,9,5,TCA,3.198,59
200,2,254,9,5,TCA,8.508,63.8
20,3,80,9,5,TCA,0.22,159
80,3,160,9,5,TCA,48.366,311.2
140,3,212,9,5,TCA,467.51,374.6
200,3,254,9,5,TCA,1809.568,415.8
